,gmhi_test,gmhi_validation,gmwi2_test,gmwi2_validation,hipca_test,hipca_validation
0,Study Accession,Study Accession,BioProjectID,BioProjectID,PRJEB27005,PRJDB3601
1,,,,,PRJEB29127	,PRJEB10878
2,PRJEB21528,PRJNA321058,PRJNA384246,PRJNA834801,PRJNA449784,PRJEB11532
3,PRJEB7774,PRJEB17784,PRJNA665061,PRJEB49206,PRJNA504891,PRJEB12123
4,PRJEB6070,PRJEB6337,PRJEB39223,PRJNA890008,PRJNA529124,PRJEB1220
5,PRJEB12449,PRJNA397112,PRJEB6456,PRJEB28545,PRJNA529400,PRJEB12449
6,PRJEB10878,PRJNA373901,PRJEB17632,PRJEB24557,PRJNA531203,PRJEB12947
7,PRJEB1220,PRJNA375935,PRJNA688274,PRJNA832909,,PRJEB13870
8,PRJNA385949,PRJNA447983,PRJNA588805,,,PRJEB15371
9,PRJNA389280,PRJDB4176,PRJNA340216,,,PRJEB1690
10,PRJEB15371,PRJEB27928,PRJNA421881,,,PRJEB1786
11,PRJNA278393,,PRJNA397112,,,PRJEB19090
12,PRJNA422434,,PRJEB7774,,,PRJEB21528
13,PRJEB1786,,PRJNA400072,,,PRJEB4336
14,PRJEB6337,,PRJEB12124,,,PRJEB6070
15,PRJEB12123,,PRJNA598446,,,PRJEB6337
16,PRJEB19090,,PRJEB15371,,,PRJEB6456
17,PRJNA305507,,PRJNA48479,,,PRJEB6997
18,PRJNA268964,,PRJNA275349,,,PRJEB7774
19,PRJEB1690,,PRJNA690543,,,PRJEB8094
20,PRJNA319574,,PRJEB21528,,,PRJNA177201
21,PRJEB11532,,PRJEB1786,,,PRJNA268964
22,PRJEB6997,,PRJEB33013,,,PRJNA278393
23,PRJNA299502,,PRJEB4336,,,PRJNA290729
24,PRJDB3601,,PRJNA328899,,,PRJNA299502
25,PRJEB8094,,PRJNA398089,,,PRJNA305507
26,PRJEB13870,,PRJEB27005,,,PRJNA319574
27,PRJEB6456,,PRJNA373901,,,PRJNA328899
28,PRJEB4336,,PRJNA354235,,,PRJNA373879
29,PRJNA177201,,PRJEB1220,,,PRJNA385949
30,PRJNA373879,,PRJNA268964,,,PRJNA389280
31,PRJNA328899,,PRJNA485056,,,PRJNA422434
32,PRJNA48479,,PRJNA504891,,,PRJNA48479
33,PRJNA290729,,PRJNA530971,,,
34,PRJEB12947,,PRJNA422434,,,
35,,,PRJEB6337,,,
36,,,PRJNA672125,,,
37,,,PRJNA395744,,,
38,,,PRJNA319574,,,
39,,,PRJNA389280,,,
40,,,PRJNA392180,,,
41,,,PRJNA693850,,,
42,,,PRJNA529124,,,
43,,,PRJNA529400,,,
44,,,PRJDB4176,,,
45,,,PRJNA447983,,,
46,,,PRJEB28543,,,
47,,,PRJEB12449,,,
48,,,PRJNA375935,,,
49,,,PRJNA429990,,,
50,,,PRJEB27928,,,
51,,,PRJEB9576,,,
52,,,PRJNA429097,,,
53,,,PRJNA763023,,,
54,,,PRJNA475246,,,
55,,,PRJEB10878,,,
56,,,PRJEB11532,,,
57,,,PRJEB6070,,,
58,,,PRJEB6997,,,
59,,,PRJNA602729,,,
60,,,PRJNA602731,,,
61,,,PRJNA638404,,,
62,,,PRJNA638403,,,
63,,,PRJNA602732,,,
64,,,PRJNA638405,,,
